市町村コード,ため池コード番号,名称,名称_カナ,都道府県,市区町村,住所,担当課,堤高(m),堤頂長(m),総貯水量(千m3),緯度,経度,ハザードマップ作成状況：作成の状況,ため池ＨＭ・浸水想定区域図　ＵＲＬ
372030,372030133,新池,シンイケ,香川県,坂出市,坂出市府中町字横山2494,坂出市農林水産課,6.4,115,47,34.26900000,133.91200000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25054.pdf
372030,372030148,庄松池,ショウマツイケ,香川県,坂出市,坂出市府中町3170,坂出市農林水産課,5,20,2,34.27700000,133.90400000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25055.pdf
372030,372030150,イヤ谷池,イヤタニイケ,香川県,坂出市,坂出市府中町3193,坂出市農林水産課,6,80,5,34.27700000,133.90200000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25056.pdf
372030,372030152,道池,ミチイケ,香川県,坂出市,坂出市府中町3279-1,坂出市農林水産課,4.9,123,15.38,34.27900000,133.89900000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25057.pdf
372030,372030155,蓮池,ハスイケ,香川県,坂出市,坂出市府中町3355,坂出市農林水産課,4,50,1,34.28200000,133.89700000,,https://www.city.sakaide.lg.jp/uploaded/attachment/24922.pdf
372030,372030156,新池,シンイケ,香川県,坂出市,坂出市府中町字額大猿3358,坂出市農林水産課,5.4,66,13.1,34.28200000,133.89900000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25058.pdf
372030,372030167,松池,マツイケ,香川県,坂出市,坂出市府中町4139,坂出市農林水産課,3.6,87,26.3,34.28100000,133.90900000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25059.pdf
372030,372030168,黒岡裏池,クロオカウライケ,香川県,坂出市,坂出市府中町4272,坂出市農林水産課,6,40,3,34.28200000,133.90800000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25093.pdf
372030,372030169,唐谷下池,イケ,香川県,坂出市,坂出市府中町字迯田原4191,坂出市農林水産課,4,141,6.5,34.28400000,133.90400000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25060.pdf
372030,372030171,唐谷池,カラタニイケ,香川県,坂出市,坂出市府中町字迯田下所4545,坂出市農林水産課,11.4,55,9.1,34.28500000,133.90200000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25061.pdf
372030,372030173,キトラ下池,キトラシタイケ,香川県,坂出市,坂出市府中町字迯田下所4479,坂出市農林水産課,4,40,4,34.28700000,133.90700000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25062.pdf
372030,372030176,開法寺池,カイホウジイケ,香川県,坂出市,坂出市府中町字南谷5068,坂出市農林水産課,3.1,121,13.67,34.29200000,133.91700000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25063.pdf
372030,372030177,小池,コイケ,香川県,坂出市,坂出市府中町字西山4746,坂出市農林水産課,7.2,56,12,34.29300000,133.91100000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25064.pdf
